type	name	iata_code	coordinates
heliport	Mayo Clinic Health System-Franciscan Healthcare Heliport		"-91.239807, 43.804088"
small_airport	Margaritaville Airport		"-96.86979675292969, 33.72129821777344"
small_airport	Wells Municipal Airport		"-93.78359985351562, 43.733299255371094"
seaplane_base	Memory Lake Seaplane Base		"-149.42361450195312, 61.62888717651367"
heliport	Maricopa County Sheriff's Office Heliport		"-111.8270034790039, 33.38169860839844"
heliport	Victor Valley Community Hospital Heliport		"-117.292742729, 34.5277595882"
small_airport	Medlock Field		"-121.74700164794922, 38.615501403808594"
heliport	Porter Memorial Hospital Heliport		"-104.97599792480469, 39.670799255371094"
heliport	The Shore Heliport		"-71.993167, 41.319917"
heliport	LZ Shadow Heliport		"-82.33465, 28.555261"
small_airport	Unicorn Place Airport		"-86.28140258789062, 30.84469985961914"
small_airport	Eagle's Landing Airport		"-82.1364974975586, 26.67729949951172"
small_airport	Richmond Field		"-84.06659698486328, 42.44169998168945"
heliport	Liberty Memorial Hospital Heliport		"-81.59149932861328, 31.845800399780273"
small_airport	Great Oaks Airport		"-82.65290069580078, 33.92300033569336"
small_airport	Greuter Field		"-84.87889862060547, 41.36940002441406"
small_airport	David Gillespie Airport		"-88.67919921875, 41.365299224853516"
heliport	Solar Nr 1 Heliport		"-87.26969909667969, 38.22589874267578"
small_airport	Sinele's Sunset Strip		"-91.29180145263672, 40.579498291015625"
small_airport	Chiles Airpark		"-94.74250030517578, 38.669700622558594"
closed	Lyndon Fire Protection District Heliport		"-85.602502, 38.2612"
heliport	Our Lady of Lourdes Hospital Heliport		"-92.035783, 30.15184"
small_airport	Maas Airstrip		"-91.04879760742188, 41.2869987487793"
closed	Perry Aero Park		"-84.278888, 42.821389"
small_airport	Yaggie Private Airport		"-96.42949676513672, 46.2776985168457"
small_airport	Hess-Mckeown Airport		"-92.4541015625, 39.30839920043945"
small_airport	Flying H Airport		"-104.527115, 47.780733"
small_airport	Hall Airport		"-93.1001968383789, 44.66109848022461"
small_airport	Slatington Airport		"-75.60489654541016, 40.76359939575195"
small_airport	Clute's Hilltop Airport		"-81.8511962890625, 35.433998107910156"
small_airport	Tengesdal Airport		"-101.04199981689453, 48.743099212646484"
heliport	"Lockheed Electronics Company, Inc. Heliport"		"-74.42130279541016, 40.64229965209961"
heliport	UVMHN-Elizabethtown Community Hospital Heliport		"-73.436408, 43.849329"
closed	Dwight Field		"-82.514397, 40.2631"
small_airport	Schulze's Airport		"-82.92489624023438, 40.95009994506836"
small_airport	Green Country Airpark		"-94.85050201416016, 36.72869873046875"
small_airport	Dick Fisher Airport		"-123.13700103759766, 45.412601470947266"
small_airport	Hurst STOLport		"-76.20939636230469, 40.342899322509766"
small_airport	Avey Field Airport		"-118.223, 48.998402"
small_airport	Dean Airport		"-97.52529907226562, 27.655000686645508"
small_airport	Deer Pasture Airport		"-98.23639678955078, 30.926300048828125"
small_airport	White Airport		"-97.75589752197266, 30.99880027770996"
small_airport	Green Lake Ranch Airport		"-96.85440063476562, 28.583599090576172"
small_airport	Meadow Farm Airport		"-77.42050170898438, 37.85710144042969"
heliport	O & M Facilities Heliport		"-117.03900146484375, 46.422298431396484"
heliport	Kroy-Osceola Heliport		"-92.68769836425781, 45.31999969482422"
small_airport	Richey Airfield		"-97.776206, 33.349956"
small_airport	Brushy Creek Airport		"-96.8302001953125, 33.75339889526367"
small_airport	Warf Airport		"-79.70809936523438, 36.31679916381836"
small_airport	Kimball Municipal Airport		"-98.97810363769531, 43.75830078125"
seaplane_base	Brocker Lake Seaplane Base		"-149.772994995, 61.4818000793"
small_airport	Rainy Pass Lodge Airport		"-152.71800231933594, 62.08409881591797"
small_airport	Platinum Mine Airport		"-161.71400451660156, 58.91170120239258"
small_airport	Sleepers Strip		"-149.98199462890625, 61.25149917602539"
small_airport	Butler Aviation Airport		"-151.2779998779297, 60.729400634765625"
small_airport	Fire Island Airport		"-150.16099548339844, 61.16830062866211"
small_airport	Rainbow Heights Estates Airstrip		"-149.63499450683594, 61.57469940185547"
small_airport	Tulakes Airport		"-149.66900634765625, 61.618099212646484"
small_airport	Cizek North Airport		"-149.6820068359375, 61.63349914550781"
closed	Sweet Home Airport		"-85.755572, 34.582047"
heliport	Air Evac 16 Heliport		"-87.632813, 34.671713"
small_airport	Hawthorn Pines Airport		"-88.09259796142578, 31.388599395751953"
heliport	Malbis Med Park-Infirmary Health Heliport		"-87.854252, 30.654636"
heliport	Mega Site Helipad		"-87.745555, 30.948611"
small_airport	Cypress Creek Airpark		"-92.1171035767, 35.0542984009"
small_airport	Elder Airstrip		"-94.19660186770001, 36.2779006958"
closed	A J's Airport		"-93.064903, 35.020401"
heliport	UAMS Alpha Pad Heliport		"-92.320174, 34.748234"
heliport	Baptist Health Medical Center-Heber Spring Heliport		"-91.997694, 35.504889"
small_airport	Mc Donald's Airstrip		"-91.37079620360001, 36.0346984863"
small_airport	Two Rivers Airport		"-92.44170379638672, 34.840599060058594"
heliport	Arkansas Heart Hospital Heliport		"-92.39276123046875, 34.739540100097656"
small_airport	Flying W Airpark II Airport		"-94.0419006348, 35.3300018311"
small_airport	Pine Mountain Airpark		"-92.6943969727, 36.4152984619"
heliport	Lyon Aviation South Ramp Heliport		"-111.921334, 33.6245"
small_airport	Wisky Ranch/Chevlon Airport		"-110.62799835205078, 34.616798400878906"
small_airport	Ash Creek Airport		"-109.542317, 31.857483"
heliport	Copper Queen Hospital Heliport		"-109.88300323486328, 31.41790008544922"
heliport	Toon Tail Heliport		"-112.78600311279297, 33.50279998779297"
small_airport	Flying Diamond Airport		"-111.12000274658203, 31.941099166870117"
small_airport	Middlebury State Airport		"-73.09590148929999, 43.9847984314"
closed	Bean Blossom Airport		"-84.0051, 43.0405"
small_airport	Frankfort-Highland Airport		"-75.17040252685547, 43.02090072631836"
small_airport	Minute Man Air Field		"-71.51789855957031, 42.46049880981445"
small_airport	Eldora Municipal Airport		"-93.11399841308594, 42.3306999206543"
small_airport	Ohio Dusting Co Inc Airport		"-83.982202, 40.952598"
heliport	Hotel New Otani Los Angeles Heliport		"-118.24243784, 34.0508104704"
small_airport	Triple R Ranch Airport		"-121.87799835205078, 41.742698669433594"
heliport	Sce Rosemead Heliport		"-118.081132, 34.050103"
heliport	Catalina Air-Sea Terminal Heliport	SPQ	"-118.275001526, 33.7491989136"
heliport	East Valley Sheriff's Station Heliport		"-118.83499908447266, 34.246700286865234"
small_airport	Valley Vista Airport		"-116.58000183105469, 34.33720016479492"
small_airport	Eagle Ridge Ranch Airport		"-120.47699737548828, 38.327701568603516"
small_airport	J&J Crop Dusters Inc Airport		"-118.8550033569336, 35.18000030517578"
small_airport	Depue Airport		"-117.13700103759766, 34.85639953613281"
heliport	UCLA Emergency Medicine Department Heliport		"-118.443000793, 34.064998626699996"
closed	Majors Airport		"-119.101997, 35.5261"
heliport	White Pine Heliport		"-120.09700012207031, 41.330501556396484"
heliport	William Shells County Heliport		"-118.86900329589844, 34.38029861450195"
small_airport	Manzanita Airport		"-119.74199676513672, 37.45940017700195"
heliport	Majlar Heliport		"-119.16799926757812, 34.156700134277344"
small_airport	Mark Franz Private Strip		"-119.60900115966797, 37.17490005493164"
heliport	Orange Co Sheriffs Forensics Lab Helistop		"-117.876998901, 33.7475013733"
small_airport	Harley Airport		"-121.24299621582031, 37.950801849365234"
closed	Peoria Airport		"-120.514999, 37.9217"
heliport	Kaiser Permanente South Sacramento Heliport		"-121.420743, 38.469856"
small_airport	Doctors Mesa Airport		"-108.01699829101562, 38.85279846191406"
small_airport	Burnham Field		"-104.91699981689453, 40.78139877319336"
small_airport	Mesawood Airpark		"-107.95800018310547, 38.96110153198242"
small_airport	Wine Glass International Airport		"-103.65799713134766, 37.63639831542969"
small_airport	Hat-Field STOLport		"-105.0009994506836, 40.51029968261719"
heliport	Montrose Blm Heliport		"-107.86799621582031, 38.45830154418945"
small_airport	Skywagon Ranch Airport		"-105.145833, 40.311886"
heliport	Monument Heliport		"-108.5999984741211, 39.096900939941406"
heliport	West Area Pwr Admin Ops Center Heliport		"-107.873001099, 38.4660987854"
heliport	Salida Hospital Heliport		"-105.98999786376953, 38.532798767089844"
small_airport	Maddock Municipal Airport		"-99.527099609375, 47.97779846191406"
closed	Schmeltzer Heliport		"-81.6604, 41.147277"
small_airport	Deshler Municipal Landing Strip		"-83.87439727783203, 41.21590042114258"
small_airport	Talihina Municipal Airport		"-95.07379913330078, 34.707801818847656"
small_airport	Manning Field		"-94.35440063476562, 32.826499938964844"
heliport	Orlando Hyatt House Heliport		"-81.53479766845703, 28.333900451660156"
small_airport	Windy Acres Airport		"-82.86869812011719, 29.565799713134766"
heliport	Crystal River Power Plant Heliport		"-82.69309997558594, 28.959400177001953"
small_airport	Big Oaks Ranch Airport		"-81.08450317382812, 28.666900634765625"
heliport	Dunedin Heliport		"-82.78980255126953, 28.019699096679688"
small_airport	Blanket Bay Airport		"-81.09980010986328, 27.778600692749023"
small_airport	Britt Brown & Porter Ranch Airport		"-81.43309783935547, 28.905000686645508"
small_airport	Thomson Airfield		"-82.53009796142578, 27.544200897216797"
heliport	Broward Health Medical Center Heliport		"-80.140462, 26.103359"
closed	Thunderbird Heliport		"-80.190902, 26.136999"
small_airport	Seminole Lake Gliderport		"-81.83789825439453, 28.405799865722656"
heliport	Mayo Clinic Heliport		"-81.440861, 30.264972"
small_airport	Kilpatrick Farm Airport		"-84.9177017211914, 30.727399826049805"
small_airport	Payson Ranch Airport		"-81.56700134277344, 26.937299728393555"
small_airport	Sylvanmir Farms Airport		"-83.57319641113281, 29.82110023498535"
heliport	Twin Cities Hospital Heliport		"-86.49639892578125, 30.533899307250977"
heliport	Sarasota Dept Of Fire-Rescue East Side Heliport		"-82.4964981079, 27.338899612400002"
heliport	Timmer Heliport		"-81.437533, 27.834669"
small_airport	Ames Field		"-82.87120056152344, 29.587499618530273"
small_airport	Saw Whet Farms Airport		"-82.87120056152344, 29.690000534057617"
small_airport	Cove Valley Airport		"-78.23809814453125, 40.454498291015625"
small_airport	Shamrock Field		"-84.24079895019531, 42.095001220703125"
small_airport	Stoney Point Field		"-84.19940185546875, 34.132598876953125"
small_airport	Fagundes Field		"-84.58380126953125, 33.19900131225586"
heliport	Becker Heliport		"-83.763056, 33.766389"
heliport	Hca Parkway Medical Center Heliport		"-84.61139678955078, 33.778099060058594"
small_airport	Spring Valley Farm Airport		"-83.85130310058594, 33.79710006713867"
small_airport	Kolibri Airport		"-84.90689849853516, 33.57820129394531"
heliport	Central State Hospital Heliport		"-83.20099639892578, 33.02320098876953"
heliport	Mac Heliport		"-84.29530334472656, 34.20610046386719"
small_airport	Flying W Farms Airport		"-85.18560028076172, 33.5078010559082"
closed	Palmyra Park Heliport		"-84.170197, 31.6068"
small_airport	Rainbow Field		"-84.53780364990234, 32.832801818847656"
small_airport	Van Wagnen Airport		"-84.33439636230001, 42.1563987732"
small_airport	Hazelton Municipal Airport		"-100.2699966430664, 46.48189926147461"
heliport	Decatur County Hospital Heliport		"-93.73580169677734, 40.7505989074707"
heliport	Loring Hospital Heliport		"-94.97920227050781, 42.41939926147461"
heliport	Jennie Edmundson Hospital Heliport		"-95.83529663085938, 41.26919937133789"
heliport	Saint Luke's Medical Center Heliport		"-96.40609741210938, 42.51969909667969"
heliport	Polk County Hospital Heliport		"-93.6406021118164, 41.61669921875"
small_airport	Davis Field		"-92.21690368652344, 42.61669921875"
small_airport	Leise Airport		"-92.9751968383789, 42.150001525878906"
small_airport	R S Auto Airport		"-91.74420166015625, 40.99039840698242"
heliport	Mmsc Heliport		"-92.9072036743164, 42.04859924316406"
heliport	Clarke County Hospital Heliport		"-93.76799774169922, 41.026100158691406"
small_airport	Regan Ranch Airport		"-116.698997498, 47.6436004639"
small_airport	Turnpaugh Field		"-86.29280090332031, 40.645301818847656"
closed	Executive Inn Heliport		"-87.565598, 37.971699"
small_airport	Willis Airport Site No. 2 Airport		"-85.72329711914062, 39.7333984375"
heliport	Terre Haute Pepsi Cola Heliport		"-87.35919952392578, 39.48860168457031"
small_airport	Cornell Airport		"-87.29889678955078, 37.982200622558594"
heliport	Southport Heliport		"-86.09500122070312, 39.66809844970703"
small_airport	David Beiswanger Ultralightport		"-85.2739028930664, 41.56060028076172"
small_airport	Bergs Airport		"-86.5813980102539, 39.886199951171875"
small_airport	Godahavit Airport		"-87.28279876708984, 38.65449905395508"
small_airport	Idlas Restricted Landing Area		"-88.699799, 42.131402"
heliport	The American Coal Company Heliport		"-88.5828018188, 37.8384017944"
small_airport	Phyllis Field		"-88.41790008544922, 42.221099853515625"
small_airport	Rummel Restricted Landing Area		"-89.5000991821289, 42.16669845581055"
small_airport	Foxfield Aerodrome		"-89.88619995117188, 42.160301208496094"
small_airport	Keil Airport		"-89.160400390625, 37.38639831542969"
small_airport	Reid Restricted Landing Area		"-88.40789794921875, 42.11840057373047"
closed	Ameritech Center Heliport		"-88.123595, 42.077801"
heliport	Centralia Correctional Center Heliport		"-89.19640350341797, 38.55440139770508"
closed	Volmedics Heliport		"-87.063642, 39.474508"
small_airport	Whelen Airport		"-85.64859771728516, 39.49359893798828"
small_airport	Wyandotte Airport		"-86.76390075683594, 40.34920120239258"
small_airport	Fischer Field		"-85.69860076904297, 39.46580123901367"
small_airport	Foghorn Farms Airport		"-85.78359985351562, 40.032798767089844"
small_airport	Mershon Airport		"-86.47669982910156, 39.54890060424805"
seaplane_base	Lake Pleasant Seaplane Base		"-85.091903686523, 41.756999969482"
small_airport	Mcminn Airport		"-85.31670379638672, 39.52859878540039"
seaplane_base	Lake James Seaplane Base		"-85.03929901123, 41.700000762939"
small_airport	Day Aero-Place Airport		"-88.12870025634766, 40.095001220703125"
heliport	Cary Fire Dept Heliport		"-88.2522964478, 42.2125015259"
heliport	Lemont Fire Dept Heliport		"-88.00420379639999, 41.6722984314"
heliport	Good Samaritan Regional Health Care Center Heliport		"-88.91059875488281, 38.32229995727539"
heliport	Presence Holy Family Medical Center Heliport		"-87.891348, 42.054945"
heliport	Presence Sts Mary and Elizabeth Medical Center Heliport		"-87.6828, 41.902802"
small_airport	Trisler Airport		"-87.9052963256836, 39.989498138427734"
heliport	St Joseph Medical Center - Joliet Heliport		"-88.1370010376, 41.5285987854"
small_airport	Edgefield County Airport		"-81.8196029663086, 33.73680114746094"
small_airport	Oak Tree Landing		"-82.66608430560001, 29.7196756944"
heliport	Cablevision Bethpage Heliport		"-73.49690246582031, 40.7593994140625"
small_airport	Shelby County Airport		"-92.05020141601562, 39.812599182128906"
small_airport	Grundy Center Municipal Airport		"-92.84349822998047, 42.350799560546875"
small_airport	Keosauqua Municipal Airport		"-91.94879913330078, 40.73469924926758"
heliport	Republic County Hospital Heliport		"-97.63729858398438, 39.81779861450195"
small_airport	Quinter Air Strip		"-100.25, 39.07059860229492"
small_airport	Stevenson Private Airport		"-100.62999725341797, 39.44169998168945"
small_airport	Walker Strip		"-101.74800109863281, 38.84560012817383"
small_airport	Bussen Airport		"-101.78399658203125, 38.90530014038086"
small_airport	Yeamans Fox Nest Airport		"-94.66449737548828, 38.224998474121094"
small_airport	Kiowa Airport		"-98.49590301513672, 37.01530075073242"
small_airport	Shute Airport		"-98.51029968261719, 39.984500885009766"
closed	Mary's Place Airport		"-96.146103, 38.383598"
heliport	Providence Medical Center Heliport		"-94.7876968384, 39.1268997192"
small_airport	Flying C Farms Airport		"-85.214167, 38.328611"
small_airport	Adair Airport		"-85.953889, 36.753333"
small_airport	Jeffries Farm Airport		"-85.36309814453125, 38.360599517822266"
closed	Alexander Field		"-89.051693, 36.523"
heliport	Jackson Barracks Heliport		"-90.0094985961914, 29.953500747680664"
small_airport	Cottonwood Airport		"-91.20590209960938, 32.98400115966797"
closed	Division 'B' Office Heliport		"-90.738402, 29.5874"
heliport	Pendleton Memorial Methodist Hospital Heliport		"-89.97589874267578, 30.028499603271484"
small_airport	Dyer Airport		"-92.591796875, 30.807100296020508"
small_airport	Church Point Flyers Airport		"-92.2406005859375, 30.45479965209961"
small_airport	Williams Flying Service Airport		"-91.86820220947266, 32.21820068359375"
heliport	Cagc Freshwater Terminal Heliport		"-92.30290222167969, 29.537700653076172"
heliport	Mud Hole Heliport		"-92.44180297851562, 29.556900024414062"
heliport	Energy Heliport		"-90.70559692382812, 29.575199127197266"
small_airport	Williamson Airport		"-88.42500305175781, 39.31890106201172"
small_airport	Cumberland Air Park RLA Restricted Landing Area		"-88.3444976807, 39.3138999939"
small_airport	Young Airport		"-90.55740356445312, 41.16450119018555"
small_airport	Wildy Field		"-89.89179992675781, 38.26750183105469"
small_airport	Smith Restricted Landing Area		"-89.99120330810547, 39.78950119018555"
small_airport	Fischer's RLA Restricted Landing Area		"-89.6633987427, 38.4916992188"
heliport	Jasper County Safety Council Heliport		"-88.17639923095703, 38.989498138427734"
small_airport	Songwood Inn Airport		"-87.72530364990234, 40.792301177978516"
heliport	Hurst Aviation Heliport		"-89.59539794921875, 38.192298889160156"
small_airport	Marked Tree Municipal Airport		"-90.4000015258789, 35.53559875488281"
seaplane_base	Lake Gardner Seaplane Base		"-70.94339752197266, 42.86149978637695"
heliport	Nason Hill Heliport		"-71.37889862060547, 42.20589828491211"
small_airport	Meadowbrook Airport		"-70.99659729003906, 42.86009979248047"
heliport	Scibelli Heliport		"-72.72450256347656, 42.06290054321289"
heliport	Ferncroft Village Heliport		"-70.97029876708984, 42.5973014831543"
heliport	Baystate Medical Ctr Heliport		"-72.6008987427, 42.1220016479"
heliport	Cotuit Heliport		"-70.44309997558594, 41.61709976196289"
heliport	Quantum (Shrewsbury) Heliport		"-71.69259643554688, 42.27289962768555"
seaplane_base	Acushnet River Seaplane Base		"-70.9175033569336, 41.647300720214844"
seaplane_base	Cuttyhunk Harbor Seaplane Base		"-70.927298, 41.423199"
small_airport	Dileo Field		"-75.90640258789062, 38.83639907836914"
closed	Spring Landing Airport		"-75.884399, 39.2458"
small_airport	Harp Airport		"-77.54669952392578, 39.596900939941406"
small_airport	Pembroke Farm Airport		"-76.2083969116211, 39.719398498535156"
heliport	UM Charles Regional Medical Center Heliport		"-76.970992, 38.528516"
small_airport	D'Angelo Airport		"-75.7667007446289, 39.33919906616211"
small_airport	White's Airstrip		"-75.4032974243164, 38.442298889160156"
heliport	Washington Adventist Hospital Heliport		"-77.00189971923828, 38.986000061035156"
small_airport	Abbots Airport		"-70.395, 44.353332"
small_airport	King Trout Airport		"-84.9520034790039, 44.61470031738281"
small_airport	Jensen Field		"-83.56379699707031, 43.263099670410156"
small_airport	Deyoung Airport		"-85.96170043945312, 42.96780014038086"
small_airport	Curt's Place Airport		"-85.98280334472656, 42.763099670410156"
heliport	Guardian Industries Heliport		"-83.46990203857422, 42.45000076293945"
heliport	Survival Flight Heliport		"-83.72799682617188, 42.28390121459961"
small_airport	Hancock Airport		"-86.43609619140625, 41.85279846191406"
small_airport	J P's Field		"-85.93419647216797, 42.80609893798828"
heliport	Omans Heliport		"-83.06189727783203, 42.91889953613281"
heliport	Jr North Heliport		"-83.92919921875, 44.41529846191406"
small_airport	Sky Blue Airfield		"-95.423103, 47.055599"
closed	Chuck West Memorial Heliport		"-95.681198, 46.010201"
closed	Brown's Private Airport		"-95.779502, 45.545502"
heliport	Hopkins Police Heliport		"-93.41690063476562, 44.91659927368164"
seaplane_base	North Center Lake Seaplane Base		"-92.83159637451172, 45.39720153808594"
seaplane_base	Gale's Seaplane Base		"-94.1624984741211, 45.207698822021484"
seaplane_base	Goose Lake Seaplane Base		"-93.84210205078125, 44.88750076293945"
small_airport	Mankato Farmstrip Airport		"-93.91690063476562, 44.099998474121094"
small_airport	Underland Airstrip		"-93.27239990234375, 44.1526985168457"
small_airport	Benson Airport		"-92.99600219726562, 45.116600036621094"
small_airport	Blackhawk Airport		"-90.8147964477539, 38.95560073852539"
small_airport	Markt Air Strip		"-95.06690216064453, 39.96670150756836"
small_airport	Ste Genevieve Flying Club Airport		"-90.03340148925781, 37.98619842529297"
small_airport	Flying 'E' Airport		"-92.12830352783203, 37.34920120239258"
small_airport	Wixted Airport		"-93.78350067138672, 38.04169845581055"
heliport	Perry County Memorial Hospital Heliport		"-89.86530303955078, 37.732200622558594"
small_airport	Winter Field		"-91.51679992675781, 38.33340072631836"
small_airport	Riverside Landings Airport		"-93.16680145263672, 37.02920150756836"
small_airport	Brazeale Farm Airport		"-92.06680297851562, 39.4833984375"
small_airport	West Aero Ranch Airport		"-94.47380065917969, 38.700599670410156"
small_airport	Woodbridge Airport		"-89.9697036743164, 32.4557991027832"
small_airport	Wells Farm Airport		"-90.335361, 31.983861"
heliport	South Central Regional Medical Center Heliport		"-89.141401, 31.684899"
small_airport	Kaehr Airport		"-89.896952, 32.401461"
small_airport	Flying Shamrock Airport		"-91.72540283203125, 39.03779983520508"
small_airport	Craddock Field		"-91.96520233154297, 37.5348014831543"
heliport	East 34th Street Heliport	TSS	"-73.97209930419922, 40.74259948730469"
seaplane_base	Evers Seaplane Base		"-73.81620025634766, 40.84590148925781"
seaplane_base	New York Skyports Inc Seaplane Base	QNY	"-73.9729, 40.734001"
small_airport	Eagles Nest Airport		"-77.69830322265625, 34.98210144042969"
small_airport	Strom Private Airport		"-102.73799896240234, 48.993099212646484"
small_airport	South Hector Airstrip		"-96.80370330810547, 46.79249954223633"
small_airport	Chase Airstrip		"-102.00900268554688, 46.91279983520508"
small_airport	Marsh Brothers Airstrip		"-100.97799682617188, 48.61920166015625"
small_airport	Kersten Brothers Airport		"-100.9219970703125, 48.73030090332031"
small_airport	Cox-Grantham Airfield		"-78.18000030517578, 35.289100646972656"
small_airport	Little Mountain Airport		"-81.07939910888672, 35.59170150756836"
small_airport	Wilhelm Airport		"-80.55809783935547, 35.511199951171875"
small_airport	Eastover Air Ranch Airport		"-78.77220153808594, 35.08639907836914"
small_airport	Brown STOLport		"-81.1395034790039, 35.90570068359375"
small_airport	Thompson Farms Airport		"-77.66190338134766, 36.01789855957031"
heliport	North Carolina Helicopters Heliport		"-81.24700164794922, 35.28219985961914"
small_airport	Circle P Farm Airport		"-76.90609741210938, 34.751399993896484"
small_airport	Marchmont Plantation Airpark		"-80.3844985961914, 35.938201904296875"
small_airport	Moss Hill Airport		"-77.75050354003906, 35.20209884643555"
small_airport	Larson Airport		"-98.38790130615234, 46.2588996887207"
small_airport	Lisburg Airport		"-96.94059753417969, 47.069698333740234"
small_airport	Fugleberg Farm Airport		"-97.55039978027344, 47.516700744628906"
small_airport	Skinningsrud Airport		"-101.76399993896484, 48.392799377441406"
small_airport	Van Boening Airport		"-101.16600036621094, 40.78689956665039"
heliport	Jan Pad Heliport		"-96.56829833984375, 40.83330154418945"
small_airport	Lee Field		"-100.33799743652344, 40.24440002441406"
small_airport	Hoppy's Airport		"-101.56900024414062, 40.08689880371094"
small_airport	Hoesel Airport		"-99.88790130615234, 41.26810073852539"
small_airport	Lentine South Airport		"-74.37740325927734, 39.78710174560547"
small_airport	Vliet Airport		"-74.95680236816406, 40.74039840698242"
heliport	Tamarack Flyers Heliport		"-74.71320343017578, 41.154300689697266"
heliport	Wayne Office Helistop		"-74.2509994506836, 40.97930145263672"
heliport	Griffin Associates Heliport		"-74.91960144042969, 39.97209930419922"
heliport	Lincoln Tunnel Heliport		"-74.0238037109375, 40.76449966430664"
heliport	185 Monmouth Parkway Associates Helistop		"-74.02539825439453, 40.30009841918945"
seaplane_base	Greenwood Lake Seaplane Base		"-74.33429718017578, 41.18009948730469"
small_airport	Lance Airport		"-74.79129791259766, 40.591800689697266"
small_airport	Bridgeport-Cahill Field		"-75.37460327148438, 39.79180145263672"
small_airport	Syracuse Suburban Airport		"-76.1781005859375, 43.26499938964844"
small_airport	Knapp Airport		"-74.82080078125, 42.62919998168945"
small_airport	Casey's Airport		"-78.17559814453125, 42.75640106201172"
small_airport	Meerwarth Airport		"-73.33470153808594, 42.950599670410156"
heliport	North Shore University Hospital Nr 2 Heliport		"-73.7052993774414, 40.76940155029297"
small_airport	Ttt Air Airport		"-78.96890258789062, 42.597801208496094"
heliport	Erie County Medical Center Heliport		"-78.83280181884766, 42.926700592041016"
heliport	New York State D.E.C. Indian Lake Heliport		"-74.26329803466797, 43.76810073852539"
heliport	Computer Associates Heliport		"-73.17579651, 40.81219864"
small_airport	Flying K Airport		"-76.6405029296875, 43.00979995727539"
heliport	Cec Heliport		"-75.22779846191406, 43.17720031738281"
small_airport	Old Port Royal Airport		"-77.08940124511719, 42.11289978027344"
small_airport	Omni Airpark		"-76.8469009399414, 42.231998443603516"
small_airport	Airy-Acres Airport		"-76.72969818115234, 42.64400100708008"
small_airport	West Township Airport		"-74.15509796142578, 42.700401306152344"
heliport	Mary Immaculate Hospital Heliport		"-73.80460357666016, 40.70539855957031"
seaplane_base	Firemans White Lake Seaplane Base		"-74.83159637451172, 41.68429946899414"
small_airport	Piolis Brookside Airport		"-74.33290100097656, 41.86539840698242"
heliport	IBM Kingston Plant Heliport		"-73.99739837646484, 41.9734001159668"
heliport	Health Alliance Mary's Avenue Heliport		"-73.999603, 41.920898"
small_airport	Sky Wagon Ranch Airport		"-121.531633, 42.130283"
heliport	Mercy Medical Center Heliport		"-83.7916030883789, 39.95840072631836"
small_airport	Missler-Bellevue Airport		"-82.8666000366211, 41.28620147705078"
heliport	Craighead Heliport		"-81.27570343017578, 41.44729995727539"
closed	R C Ford Field		"-83.828796, 41.705101"
small_airport	Aring Field		"-83.55829620361328, 41.3583984375"
heliport	Connor Heliport		"-83.05419921875, 40.162498474121094"
small_airport	Shelton Airport		"-83.54740142822266, 41.364498138427734"
small_airport	Nietz Airport		"-83.67970275878906, 41.412601470947266"
heliport	Rmz Heliport		"-81.2593002319336, 41.50170135498047"
small_airport	Kemps Field of Dreams Airport		"-84.39990234375, 40.105899810791016"
closed	Derecsky Airport		"-81.257301, 41.3759"
heliport	Marion General Hospital Heliport		"-83.12909698486328, 40.57120132446289"
small_airport	Mitchell Airport		"-83.21800231933594, 40.137298583984375"
heliport	Toledo Hospital Heliport		"-83.59490203857422, 41.67169952392578"
heliport	Cleveland Clinic Foundation Heliport		"-81.6386833, 41.5018056"
heliport	Red Roof Inns Heliport		"-83.1270980834961, 40.05009841918945"
small_airport	White Airport		"-97.95890045166016, 35.89139938354492"
small_airport	John Reid Airport		"-95.00299835205078, 36.00149917602539"
small_airport	Redhills Airport		"-97.89530181884766, 35.062801361083984"
small_airport	Pinson's Cottonpatch Airport		"-99.13150024414062, 34.47480010986328"
heliport	Hillcrest Medical Center Heliport		"-95.96690368652344, 36.14590072631836"
closed	Cary Ranch Airport		"-99.929397, 35.628601"
small_airport	Earl Henry Airport	BWL	"-97.3170013428, 36.7958984375"
small_airport	Cochran Ranch Airport		"-95.86299896240234, 34.59590148925781"
small_airport	Lasley Private Airport		"-98.57119750976562, 35.359500885009766"
small_airport	Mulberry Hill Airport		"-96.94229889, 36.14170074"
closed	Grells Airport		"-123.091003, 44.529701"
small_airport	Pointers Airport		"-121.27200317382812, 45.57210159301758"
small_airport	Chenoweth Airpark		"-121.27100372314453, 45.611000061035156"
heliport	Tillamook County General Hospital Heliport		"-123.85399627685547, 45.45539855957031"
small_airport	Tailwheel Airport		"-120.794741944, 44.2731825"
heliport	Meridian Park Hospital Heliport		"-122.739767432, 45.3780192213"
small_airport	Wonder Airport		"-123.53500366210938, 42.39149856567383"
small_airport	Schmidt Airport		"-122.32099914550781, 45.45289993286133"
small_airport	Holce & Oblack Airport		"-123.3499984741211, 45.971500396728516"
small_airport	Reds Wallowa Horse Ranch Airport		"-117.6259994506836, 45.34149932861328"
small_airport	Waunakee Airport		"-89.45130157470703, 43.1786994934082"
small_airport	Myer Airport		"-74.93289947509766, 41.350101470947266"
small_airport	Tower Airfield		"-79.57980346679688, 40.51029968261719"
heliport	UPMC Heliport		"-79.077367, 40.007049"
