type	name	iata_code	coordinates
heliport	Compaq Andover Heliport		"-71.18009948730469, 42.625099182128906"
seaplane_base	Annapolis Seaplane Base		"-76.456001, 38.999199"
seaplane_base	Saint Peter's Seaplane Base		"-68.50029754638672, 46.778900146484375"
heliport	Flow Through Terminal Heliport		"-83.67970275878906, 43.04949951171875"
seaplane_base	Barnes Seaplane Base		"-92.55740356445312, 47.899600982666016"
heliport	Highway Patrol Troop C Headquarters Heliport		"-90.48429870605469, 38.641700744628906"
small_airport	Crystal Lakes Resort Airport		"-114.87999725341797, 48.789100646972656"
small_airport	Topsail Airpark		"-77.5813980102539, 34.47529983520508"
small_airport	Detour Airport		"-100.65299987792969, 40.84360122680664"
small_airport	Moore Airfield		"-72.086998, 43.6445"
heliport	Albert Guido Memorial Heliport		"-74.13710021972656, 40.741798400878906"
small_airport	Champion Ranch Airport		"-104.540278, 33.008611"
small_airport	Lantana Ranch Airport		"-119.0270004272461, 38.76390075683594"
closed	Vassar Hospital Heliport		"-73.935582, 41.694187"
heliport	Galion Community Hospital Heliport		"-82.80159759521484, 40.73059844970703"
closed	Lawrence Airport		"-98.636496, 35.294498"
closed	Red & White Flying Service Airport		"-121.044997, 43.119301"
heliport	Pine Heliport		"-80.0509033203125, 40.655601501464844"
small_airport	Bierly(Personal Use) Airport		"-77.73889923095703, 40.930599212646484"
small_airport	Nort's Resort Airport		"-76.02960205078125, 41.59590148925781"
small_airport	York Airport		"-81.25279998779297, 35.032100677490234"
heliport	Thirty Thirty Matlock Office Center Heliport		"-97.11579895019531, 32.69419860839844"
small_airport	Smith Field		"-96.4280014038086, 32.73759841918945"
small_airport	Colonial Air Park		"-89.73059844970703, 34.99589920043945"
closed	St Joseph Hospital Heliport		"-97.324501, 32.7285"
small_airport	Mims Farm Ultralightport		"-96.87750244140625, 32.38759994506836"
small_airport	Duckwater Airport		"-115.63400268554688, 38.851600646972656"
small_airport	La Sal Junction Airport		"-109.39600372314453, 38.30830001831055"
small_airport	Pickles Airport		"-77.9250030518, 39.125"
heliport	Willapa Harbor Heliport		"-123.81199645996094, 46.66320037841797"
small_airport	Prehn Cranberry Company Airport		"-90.38919830322266, 44.0099983215332"
heliport	Whidbey General Hospital Heliport		"-122.68499755859375, 48.213401794433594"
heliport	Odyssey Heliport		"-122.210908, 47.518178"
small_airport	Keyhole Airport		"-104.81099700927734, 44.347198486328125"
heliport	Seton Medical Center Hays Heliport		"-97.853333, 30.007222"
heliport	Meadowood Ranch Heliport		"-95.74549865722656, 32.020198822021484"
small_airport	Rustic Wilderness Airport		"-150.09800720214844, 61.87689971923828"
small_airport	Bass Field		"-87.76439666748047, 30.37150001525879"
closed	Three Rivers Airport		"-92.44442, 34.822445"
closed	Winchester Farm Airstrip		"-109.936996, 32.376401"
heliport	Swepi Beta Platform Ellen Heliport		"-118.12899780273438, 33.58250045776367"
small_airport	Shannon Field		"-90.52400207519531, 34.129600524902344"
small_airport	Conover Air Lodge Airport		"-119.058998, 34.761101"
small_airport	Mc Cullough Airport		"-106.04699707, 37.64329910279999"
heliport	Strangers Point Heliport		"-72.44450378417969, 41.91960144042969"
small_airport	Osborn Airfield		"-81.87480163574219, 28.52669906616211"
small_airport	Cuchens Airport		"-86.123889, 30.642778"
small_airport	Doug Bolton Field		"-83.42900085449219, 34.202598571777344"
small_airport	Etowah Fields Airport		"-84.92440032958984, 34.17530059814453"
heliport	K3 Helipad Heliport		"-157.9510040283203, 21.36199951171875"
heliport	Boone County Hospital Heliport		"-93.87799835205078, 42.05609893798828"
small_airport	Morgan Ranch Airport		"-115.30500030517578, 44.55550003051758"
small_airport	King Ultralightport		"-86.21050262451172, 40.06230163574219"
small_airport	Diamond P. Field		"-85.54080200195312, 40.208900451660156"
heliport	Condell Medical Center Heliport		"-87.9572982788086, 42.274600982666016"
small_airport	Jmj Landing Airport		"-96.0552978515625, 39.222198486328125"
heliport	St Claire Healthcare Heliport		"-83.443319, 38.181441"
heliport	Boone National Guard Heliport		"-84.89990234375, 38.18339920043945"
heliport	La State Police Troop G Heliport		"-93.66020202636719, 32.53129959106445"
heliport	Windy Hill Heliport		"-91.91899871826172, 30.148300170898438"
heliport	Cuttyhunk Heliport		"-70.927001953125, 41.41960144042969"
small_airport	Garner Field		"-76.709739, 38.672544"
small_airport	Nadeau's Airport		"-70.929397, 43.5373"
small_airport	Fairplains Airpark		"-85.14849853515625, 43.157100677490234"
small_airport	Greenbush Municipal Airport		"-96.19200134277344, 48.68330001831055"
small_airport	Troy Airpark		"-91.03350067138672, 39.04999923706055"
small_airport	Watts Field		"-90.8468017578125, 34.100101470947266"
closed	Barrett Field		"-111.74304, 47.2374"
closed	Timber Line Airpark		"-93.797418, 36.654233"
heliport	Race City Heliport		"-80.597778, 35.541111"
small_airport	Benes Service Airport		"-96.90450286865234, 41.074501037597656"
seaplane_base	Iroquois Landing Seaplane Base		"-71.21910095214844, 44.657100677490234"
heliport	Penske Heliport		"-74.46710205078125, 40.55730056762695"
small_airport	Paiute Meadows Airport		"-118.5979995727539, 41.30329895019531"
heliport	Hansen Heliport		"-75.65550231933594, 43.132598876953125"
small_airport	Zimmerman Airport		"-83.08329772949219, 41.376399993896484"
small_airport	Murtha Airport		"-80.56539916992188, 41.801998138427734"
closed	Canon Heliport		"-97.525297, 35.458401"
small_airport	Rowena Dell Airport		"-121.31600189208984, 45.68149948120117"
heliport	Stottle Memorial Heliport		"-77.556602, 40.403596"
heliport	Lag Iii Heliport		"-79.7699966430664, 40.43830108642578"
heliport	Peco Berwyn Heliport		"-75.4552001953125, 40.06959915161133"
small_airport	Cuylers Airport		"-66.36689758300781, 18.45330047607422"
small_airport	Hughes Ultralightport		"-77.23030090332031, 41.90060043334961"
small_airport	Harpers Airport		"-81.22480010986328, 32.75849914550781"
small_airport	Wise River Airport		"-112.98200225830078, 45.769100189208984"
heliport	Matagorda Shore Facility Heliport		"-95.8738021850586, 28.721399307250977"
heliport	Baylor Medical Center Heliport		"-96.86419677734375, 32.39540100097656"
small_airport	Ellis Field		"-86.58419799804688, 35.780601501464844"
closed	FWOMC Heliport		"-97.370003, 32.747601"
small_airport	The Palms At Kitty Hawk Airport		"-101.92288208, 33.3704032898"
small_airport	Lucin Airport		"-113.84300231933594, 41.36629867553711"
small_airport	The Greenhouse Airport		"-77.8572006225586, 38.435699462890625"
heliport	Northstar Aviation Heliport		"-82.11669921875, 36.63880157470703"
small_airport	Cawleys South Prairie Airport		"-122.09400177001953, 47.15230178833008"
small_airport	Beer Airport		"-92.65579986572266, 45.031898498535156"
small_airport	Fowler Field		"-119.31900024414062, 48.74580001831055"
small_airport	JLS Farms Airport		"-95.882864, 33.591319"
small_airport	Seidel Ranch Airport		"-97.66280364990234, 30.1476993560791"
heliport	Trapper T Heliport		"-149.284527, 61.556055"
seaplane_base	Joe Clouds Seaplane Base		"-151.13278198242188, 60.72722244262695"
heliport	Highland Medical Center Heliport		"-86.046774, 34.662604"
heliport	Hscmh Heliport		"-92.78849792480469, 34.357601165771484"
small_airport	Thompson International Aviation Airport		"-110.08399963378906, 31.433399200439453"
heliport	Grossmont Hospital Heliport		"-117.006952, 32.779484"
small_airport	Kugel-Strong Airport		"-104.744003296, 40.2125015259"
small_airport	Lake Persimmon Airstrip		"-81.40809631347656, 27.353099822998047"
closed	Tharpe Airport		"-85.731003, 30.8288"
heliport	Ranger Heliport		"-80.18730163574219, 26.683700561523438"
small_airport	HIA Airport		"-81.8576944, 32.5623056"
closed	Clarks Dream Strip		"-83.018204, 39.644199"
small_airport	East Field		"-92.4613037109375, 41.58190155029297"
small_airport	Flying Y Ranch Airport		"-116.53299713134766, 44.7943000793457"
small_airport	Davis Field Ultralightport		"-87.7789001465, 37.9620018005"
small_airport	Wix Airport		"-87.81670379638672, 41.40230178833008"
small_airport	Heinzman Airport		"-86.01249694824219, 40.18000030517578"
heliport	OSF St Anthony's Health Center Heliport		"-90.173401, 38.904999"
heliport	Valley Grain Heliport		"-95.26409912109375, 39.86470031738281"
small_airport	Flying H Farms Airport		"-87.54139709472656, 37.79169845581055"
heliport	Damien Heliport		"-91.12789916992188, 30.199600219726562"
heliport	Fmc Nr 1 Heliport		"-91.70800018310547, 32.159000396728516"
seaplane_base	Lakeside Marina Seaplane Base		"-69.8895034790039, 44.320899963378906"
small_airport	Hadley Airport		"-72.552001953125, 42.39310073852539"
heliport	Upper Chesapeake Medical Center Heliport		"-76.32669830322266, 39.522499084472656"
small_airport	Maple Ridge Airport		"-70.6272964477539, 44.08420181274414"
heliport	Harold Miller Heliport		"-83.86219787597656, 43.550899505615234"
small_airport	Nauerth Land Ranch Airport		"-95.22470092773438, 43.62519836425781"
closed	Cahoochie Airport		"-93.131599, 37.884499"
heliport	Vicksburg Medical Center Heliport		"-90.8832015991211, 32.31880187988281"
small_airport	Cascade Field		"-111.71748, 47.267327"
small_airport	Mc Donnell Airport		"-94.41249847410002, 38.4925003052"
small_airport	Utirik Airport	UTK	"169.852005, 11.222"
small_airport	Pilots Ridge Airport		"-77.9041976928711, 34.10430145263672"
small_airport	Olafson Brothers Airport		"-97.8290023803711, 48.626399993896484"
small_airport	Hyde Ranch Airport		"-99.3311996459961, 41.5463981628418"
heliport	Lorden Heliport		"-71.12439727783203, 42.815399169921875"
heliport	At&T Heliport		"-74.410697937012, 40.668701171875"
small_airport	Llama Ranch Airport		"-115.2979965209961, 40.58440017700195"
small_airport	Talmage Field		"-72.716796875, 40.95840072631836"
small_airport	Gibbs Field		"-83.01740264892578, 41.418399810791016"
heliport	Marymount Hospital Heliport		"-81.59980010986328, 41.4208984375"
small_airport	Sahoma Lake Airport		"-96.1613998413086, 36.04119873046875"
small_airport	Powwatka Ridge Airport		"-117.48400115966797, 45.85540008544922"
heliport	Collegeville Heliport		"-75.4656982421875, 40.162899017333984"
heliport	M.P. Metals Heliport		"-76.180806, 41.066861"
small_airport	Sun View Field Airport		"-94.921703, 39.065947"
closed	Ziggy's Field		"-77.905602, 40.849998"
small_airport	Sandy River Airport		"-122.22899627685547, 45.401798248291016"
heliport	Seacoast Medical Center Heliport		"-78.66190338134766, 33.8650016784668"
closed	Gay Hill Farm Airport		"-96.500198, 30.262699"
small_airport	Barronena Ranch Airport		"-98.66950225830078, 27.491100311279297"
heliport	Eagles Landing Heliport		"-83.57939910888672, 35.92250061035156"
heliport	Shannon Medical Center Heliport		"-100.43800354003906, 31.45989990234375"
heliport	M D K Field		"-95.30719757080078, 29.581600189208984"
small_airport	A Z Minerals Corporation Airport		"-109.98600006103516, 37.12080001831055"
closed	Whipoorwill Springs Airport		"-77.57969665527344, 38.66460037231445"
small_airport	Spangle Field		"-117.37200164794922, 47.408199310302734"
small_airport	Zink Airport		"-88.883945, 44.028873"
small_airport	Aerostone Ranch Airport		"-120.66999816894531, 45.875"
small_airport	Creekside Airport		"-100.75399780273438, 31.318099975585938"
small_airport	Phil's Airport		"-150.811387, 60.535833"
heliport	Anniston AHP (Anniston Army Depot)		"-85.96720123, 33.62639999"
heliport	Saline Memorial Hospital Heliport		"-92.586047, 34.574319"
small_airport	Chinle Airport		"-109.5510025024414, 36.15420150756836"
small_airport	Gray Butte Field		"-117.675003, 34.5639"
small_airport	Hunt's Sky Ranch Airport		"-116.44100189208984, 33.08169937133789"
